network,station_name,station_lat,station_lon,lines,num_platforms,platform_coords
Euskotren,Toletxegain-Elgoibar,43.217481,-2.409036,,1,"43.217788,-2.408536"
Euskotren,Traña-Abadiño,43.165337,-2.612701,,2,"43.165119,-2.611999|43.16506,-2.612084"
Euskotren,Txagorritxu,42.856916,-2.689028,,2,"42.856916,-2.689028|42.856916,-2.689028"
Euskotren,Txurdinaga-Bilbao,43.258051,-2.906729,,2,"43.25807,-2.90671|43.25807,-2.90671"
Euskotren,Unibertsitatea,42.837364,-2.672430,,2,"42.837364,-2.67243|42.837364,-2.67243"
Euskotren,Unibertsitatea-Eibar,43.180662,-2.487442,,2,"43.180683,-2.487378|43.180598,-2.48751"
Euskotren,Uribarri-Bilbao,43.267102,-2.921277,,2,"43.267223,-2.921325|43.267223,-2.921325"
Euskotren,Uribitarte,43.266303,-2.928733,,2,"43.266303,-2.928733|43.266303,-2.928733"
Euskotren,Usansolo,43.217819,-2.821656,,2,"43.217648,-2.821493|43.21762,-2.821632"
Euskotren,Usurbil,43.268748,-2.052937,,2,"43.268631,-2.052824|43.268559,-2.052813"
Euskotren,Wellington,42.859950,-2.692320,,2,"42.85995,-2.69232|42.85995,-2.69232"
Euskotren,Zaldibar,43.171641,-2.547899,,1,"43.171629,-2.548298"
Euskotren,Zamudio,43.284342,-2.864839,,1,"43.284282,-2.865212"
Euskotren,Zangroiz-Sondika,43.300349,-2.940859,,1,"43.300303,-2.940957"
Euskotren,Zarautz,43.284252,-2.171450,,2,"43.284259,-2.171231|43.284198,-2.171311"
Euskotren,Zazpikaleak/Casco Viejo-Bilbao,43.259983,-2.922197,,2,"43.260176,-2.921842|43.26021,-2.921805"
Euskotren,Zugaztieta-Muxika,43.252154,-2.692748,,2,"43.252165,-2.692708|43.252146,-2.692743"
Euskotren,Zuhatzu-Galdakao,43.228896,-2.853572,,2,"43.228832,-2.854063|43.228744,-2.854032"
Euskotren,Zumaia,43.291603,-2.251818,,2,"43.29157,-2.251655|43.291457,-2.251713"
Euskotren,Zurbaranbarri-Bilbao,43.264911,-2.914977,,2,"43.26495,-2.914971|43.26495,-2.914971"
